female;male;word;cat
1;528;soldat;O
8;392;leistet;O
2;243;geriet;O
48;887;weltkrieg;O
20;528;teil;O
1;179;wehrmacht;O
2;200;kriegsgefangenschaft;O
4;237;entlass;O
2;178;gefangenschaft;O
2;129;landwirt;O
2;103;mitbegrund;O
5;147;mitgliedsnumm;O
3;109;reserv;O
14;258;kriegsend;O
9;189;nsdap;O
17;280;bayer;O
33;444;volksschul;O
2;79;oberrealschul;O
2;75;heimatvertrieb;O
8;161;bundeswehr;O
6;133;fungiert;O
6;133;jur;O
2;71;kriegsdien;O
3;88;sowjet;O
1;49;beamt;O
76;781;nahm;O
1;48;staatsdien;O
1;48;rang;O
2;67;diplom-ingenieur;O
7;139;rechts-;O
1;46;wirtschaftspolit;O
1;46;offizi;O
1;45;handelskamm;O
1;45;dienstgrad;O
4;94;entlassung;O
11;180;eingezog;O
1;41;hauptmann;O
2;57;vertrieb;O
1;39;volksschulabschluss;O
1;37;einberuf;O
6;109;eingesetzt;O
1;36;ruckwirk;O
19;244;ersten;O
1;35;landwirtschaftsschul;O
6;106;humanist;O
4;80;britisch;O
3;66;notar;O
1;34;hamm;O
1;34;reserveoffizi;O
1;34;handwerk;O
6;104;vertret;O
729;4587;wurd;O
1;33;inhab;O
4;75;landrat;O
13;174;nationalsozialist;O
1;31;erlitt;O
1;31;ausgeschloss;O
1;31;zulass;O
7;109;saarland;O
1;30;bhe;O
25;282;prasident;O
2;45;verdienstkreuz;O
1;29;west;O
1;29;cdu-fraktion;O
1;29;badisch;O
1;29;bayernpartei;O
1;28;schrift;O
1;28;maschinenschloss;O
1;28;meist;O
1;28;oberst;O
1;28;buroleit;O
2;43;allerding;O
7;103;aufnahm;O
3;56;doktor;O
2;41;kohl;O
2;41;freier;O
1;26;diplom-verwaltungswirt;O
1;26;chef;O
11;139;staatswissenschaft;O
3;53;verwaltungsdien;O
1;25;bevollmachtigt;O
1;25;besatzungszon;O
1;25;land-;O
1;25;weizsack;O
1;25;genomm;O
1;25;norddeutsch;O
1;25;bau-;O
1;25;bezirksleit;O
42;398;zuletzt;O
3;52;industrie-;O
2;39;tschechoslowakei;O
36;349;landwirtschaft;O
3;51;machtubernahm;O
1;24;wirtschaftsrat;O
1;24;sa;O
1;24;regierungsprasident;O
1;24;arbeitgeberverband;O
1;24;hochverrat;O
1;24;heraus;O
165;1220;zweit;O